Task Name,Category,Priority,Target Value,Unit,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Repeat Future Weeks
Offer Salah on time,Faith,Critical,5,Count,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quran or spiritual study,Faith,Important,20,Minutes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Follow planned diet,Fitness,Critical,1,Yes/No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Meet protein target,Fitness,Critical,100,Grams,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Drink water,Fitness,Important,3,Litres,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sleep including nap,Fitness,Critical,7,Hours,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Write Daily Top 3,Personal Execution,Critical,3,Count,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Clear urgent messages,Administration,Important,100,Percentage,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Complete evening review,Personal Execution,Critical,1,Session,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Plan tomorrow,Personal Execution,Critical,1,Session,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Send targeted outreaches,Sales,Critical,20,Messages,Yes,,,,,,,Yes
Visit qualified schools,Field Visits,Critical,3,Count,,Yes,,,,,,Yes
Focused client delivery,Client Delivery,Critical,180,Minutes,,,Yes,,,,,Yes
Visit qualified businesses,Field Visits,Critical,3,Count,,,,Yes,,,,Yes
Make closing calls,Sales,Critical,5,Calls,,,,,Yes,,,Yes
Batch-record videos,Content,Important,3,Count,,,,,,Yes,,Yes
Complete weekly sales review,Administration,Critical,1,Session,,,,,,,Yes,Yes
